source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,p50_latency,p90_latency,p95_latency,p99_latency,time_window
frontend,currencyservice,2025-03-10 16:18:00,[12082237.0],[487.0],[487.0],[0.0],[1.0],[0.0],[2.472587269006079],[55775.0],[3718.3333333333335],[32.46666666666667],2.472587269006079,2.472587269006079,2.472587269006079,2.472587269006079,15S
frontend,productcatalogservice,2025-03-10 16:09:00,"[19227058.0, 19228967.0, 19231151.0]","[1710.0, 1909.0, 2184.0]","[1710.0, 1909.0, 2184.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.952280701755693, 2.330958617081297, 3.229693223442541]","[208352.0, 234147.5, 268162.5]","[13890.133333333331, 15609.833333333334, 17877.5]","[114.0, 127.26666666666668, 145.6]",2.330958617081297,3.229693223442541,3.229693223442541,3.229693223442541,15S
frontend,productcatalogservice,2025-03-10 16:10:00,"[19233532.0, 19236015.0, 19238524.0, 19241390.0]","[2381.0, 2483.0, 2509.0, 2866.0]","[2381.0, 2483.0, 2509.0, 2866.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.537610247792228, 3.769049536850884, 4.714388202471995, 5.106280530355117]","[292606.5, 301301.0, 307926.5, 356786.5]","[19507.1, 20086.733333333334, 20528.43333333333, 23785.766666666663]","[158.73333333333332, 165.53333333333333, 167.26666666666668, 191.06666666666663]",4.714388202471995,5.106280530355117,5.106280530355117,5.106280530355117,15S
frontend,productcatalogservice,2025-03-10 16:11:00,"[19244294.0, 19247430.0, 19250650.0, 19253742.0]","[2904.0, 3136.0, 3220.0, 3092.0]","[2904.0, 3136.0, 3220.0, 3092.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.961311983470561, 7.855070153061225, 7.579565217391073, 8.403137128072444]","[358047.5, 381244.5, 398065.0, 394085.5]","[23869.83333333333, 25416.3, 26537.666666666668, 26272.366666666665]","[193.6, 209.06666666666663, 214.66666666666663, 206.13333333333333]",7.855070153061225,8.403137128072444,8.403137128072444,8.403137128072444,15S
frontend,productcatalogservice,2025-03-10 16:12:00,"[19257476.0, 19260728.0, 19264159.0, 19264820.0]","[3734.0, 3252.0, 3431.0, 678.0]","[3734.0, 3252.0, 3431.0, 661.0]","[0.0, 0.0, 0.0, 17.0]","[1.0, 1.0, 1.0, 0.9749262536873156]","[0.0, 0.0, 0.0, 0.0250737463126843]","[9.634132297804364, 9.52192496924992, 8.914543864764848, 13.690206460782235]","[441192.5, 413041.0, 410470.5, 105892.0]","[29412.83333333333, 27536.066666666666, 27364.7, 7059.466666666666]","[248.9333333333333, 216.8, 228.7333333333333, 45.2]",9.52192496924992,9.634132297804364,13.690206460782235,13.690206460782235,15S
frontend,productcatalogservice,2025-03-10 16:13:00,"[19265448.0, 19266281.0, 19267287.0, 19268583.0]","[628.0, 833.0, 1006.0, 1296.0]","[628.0, 833.0, 1006.0, 1296.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.0639331210226677, 1.229591836734694, 1.2512425447316102, 1.538773148148148]","[74086.5, 102871.0, 119198.0, 159576.0]","[4939.1, 6858.066666666667, 7946.533333333334, 10638.4]","[41.86666666666667, 55.53333333333333, 67.06666666666666, 86.4]",1.2512425447316102,1.538773148148148,1.538773148148148,1.538773148148148,15S
frontend,productcatalogservice,2025-03-10 16:14:00,"[19270096.0, 19271982.0, 19273978.0, 19276191.0]","[1513.0, 1886.0, 1996.0, 2213.0]","[1513.0, 1886.0, 1996.0, 2213.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.9578651685393256, 2.360180275716196, 2.370240480961924, 3.300316312696685]","[187479.5, 236469.0, 235701.5, 273193.0]","[12498.633333333331, 15764.6, 15713.433333333332, 18212.866666666665]","[100.86666666666666, 125.73333333333332, 133.06666666666666, 147.53333333333333]",2.370240480961924,3.300316312696685,3.300316312696685,3.300316312696685,15S
frontend,productcatalogservice,2025-03-10 16:15:00,"[19278532.0, 19281015.0, 19283622.0, 19286343.0]","[2341.0, 2483.0, 2607.0, 2721.0]","[2341.0, 2483.0, 2607.0, 2721.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.6844083724900702, 4.189005235602394, 5.264844649021579, 5.447096655642952]","[291183.0, 308091.5, 318865.0, 325437.5]","[19412.2, 20539.43333333333, 21257.666666666668, 21695.83333333333]","[156.06666666666666, 165.53333333333333, 173.8, 181.4]",5.264844649021579,5.447096655642952,5.447096655642952,5.447096655642952,15S
frontend,productcatalogservice,2025-03-10 16:16:00,"[19289222.0, 19292108.0, 19295337.0, 19298463.0]","[2879.0, 2886.0, 3229.0, 3126.0]","[2879.0, 2886.0, 3229.0, 3126.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[7.174765543591008, 7.006410256411547, 7.248343140291804, 7.9820857325631955]","[362538.0, 363842.5, 387438.0, 381091.5]","[24169.2, 24256.166666666668, 25829.2, 25406.1]","[191.9333333333333, 192.4, 215.26666666666668, 208.4]",7.248343140291804,7.9820857325631955,7.9820857325631955,7.9820857325631955,15S
frontend,productcatalogservice,2025-03-10 16:17:00,"[19301960.0, 19305106.0, 19308520.0, 19309151.0]","[3497.0, 3146.0, 3414.0, 634.0]","[3497.0, 3146.0, 3414.0, 631.0]","[0.0, 0.0, 0.0, 3.0]","[1.0, 1.0, 1.0, 0.995268138801262]","[0.0, 0.0, 0.0, 0.0047318611987381]","[9.641564197884112, 8.655435473618477, 9.29195957820629, 11.031827786589227]","[429014.0, 393669.0, 416367.0, 96083.5]","[28600.93333333333, 26244.6, 27757.8, 6405.566666666667]","[233.13333333333333, 209.7333333333333, 227.6, 42.266666666666666]",9.29195957820629,9.641564197884112,11.031827786589227,11.031827786589227,15S
frontend,productcatalogservice,2025-03-10 16:18:00,[19309672.0],[521.0],[521.0],[0.0],[1.0],[0.0],[1.0670825335878211],[61820.0],[4121.333333333333],[34.733333333333334],1.0670825335878211,1.0670825335878211,1.0670825335878211,1.0670825335878211,15S
frontend,recommendationservice,2025-03-10 16:09:00,"[2949804.0, 2950121.0, 2950472.0]","[282.0, 317.0, 351.0]","[282.0, 317.0, 351.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[10.871099290774858, 28.62807570978388, 16.22720797720798]","[47920.0, 54815.0, 61275.0]","[3194.6666666666665, 3654.3333333333335, 4085.0]","[18.8, 21.133333333333333, 23.4]",16.22720797720798,28.62807570978388,28.62807570978388,28.62807570978388,15S
frontend,recommendationservice,2025-03-10 16:10:00,"[2950846.0, 2951245.0, 2951664.0, 2952115.0]","[374.0, 399.0, 419.0, 451.0]","[374.0, 399.0, 419.0, 451.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[16.495053475931844, 41.88145363408334, 33.40978520286218, 52.64478935698613]","[64450.0, 67630.0, 70410.0, 80720.0]","[4296.666666666667, 4508.666666666667, 4694.0, 5381.333333333333]","[24.933333333333334, 26.6, 27.933333333333334, 30.066666666666663]",41.88145363408334,52.64478935698613,52.64478935698613,52.64478935698613,15S
frontend,recommendationservice,2025-03-10 16:11:00,"[2952587.0, 2953077.0, 2953584.0, 2954126.0]","[472.0, 490.0, 507.0, 542.0]","[472.0, 490.0, 507.0, 542.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[42.37309322033425, 78.7879591836765, 69.49704142011835, 131.05027675276753]","[79250.0, 86175.0, 87040.0, 91970.0]","[5283.333333333333, 5745.0, 5802.666666666667, 6131.333333333333]","[31.466666666666665, 32.666666666666664, 33.8, 36.13333333333333]",78.7879591836765,131.05027675276753,131.05027675276753,131.05027675276753,15S
frontend,recommendationservice,2025-03-10 16:12:00,"[2954673.0, 2955181.0, 2955606.0, 2955668.0]","[547.0, 508.0, 428.0, 62.0]","[547.0, 508.0, 425.0, 62.0]","[0.0, 0.0, 3.0, 0.0]","[1.0, 1.0, 0.9929906542056076, 1.0]","[0.0, 0.0, 0.0070093457943924, 0.0]","[99.91864716636198, 201.0180118110207, 128.80552941176862, 8.687903225782417]","[90545.0, 95795.0, 79120.0, 10160.0]","[6036.333333333333, 6386.333333333333, 5274.666666666667, 677.3333333333334]","[36.46666666666667, 33.86666666666667, 28.53333333333333, 4.133333333333334]",128.80552941176862,201.0180118110207,201.0180118110207,201.0180118110207,15S
frontend,recommendationservice,2025-03-10 16:13:00,"[2955782.0, 2955918.0, 2956102.0, 2956302.0]","[114.0, 136.0, 184.0, 200.0]","[114.0, 136.0, 184.0, 200.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[8.99912280703715, 9.08713235292474, 11.990489130434783, 10.54175000000745]","[19025.0, 21700.0, 32425.0, 34055.0]","[1268.3333333333333, 1446.6666666666667, 2161.6666666666665, 2270.333333333333]","[7.6, 9.066666666666666, 12.266666666666667, 13.333333333333334]",10.54175000000745,11.990489130434783,11.990489130434783,11.990489130434783,15S
frontend,recommendationservice,2025-03-10 16:14:00,"[2956568.0, 2956883.0, 2957198.0, 2957563.0]","[266.0, 315.0, 315.0, 365.0]","[266.0, 315.0, 315.0, 365.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[11.156203007521595, 12.470000000002363, 29.372857142854777, 16.21013698629933]","[44850.0, 52650.0, 54795.0, 61550.0]","[2990.0, 3510.0, 3653.0, 4103.333333333333]","[17.733333333333334, 21.0, 21.0, 24.33333333333333]",16.21013698629933,29.372857142854777,29.372857142854777,29.372857142854777,15S
frontend,recommendationservice,2025-03-10 16:15:00,"[2957941.0, 2958311.0, 2958755.0, 2959199.0]","[378.0, 370.0, 444.0, 444.0]","[378.0, 370.0, 444.0, 444.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[25.055423280431164, 47.73878378377774, 50.71689189189357, 86.4084459459493]","[65335.0, 68525.0, 71905.0, 76460.0]","[4355.666666666667, 4568.333333333333, 4793.666666666667, 5097.333333333333]","[25.2, 24.666666666666668, 29.6, 29.6]",50.71689189189357,86.4084459459493,86.4084459459493,86.4084459459493,15S
frontend,recommendationservice,2025-03-10 16:16:00,"[2959610.0, 2960115.0, 2960595.0, 2961134.0]","[411.0, 505.0, 480.0, 539.0]","[411.0, 505.0, 480.0, 539.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[94.0807785887969, 156.4820792079267, 75.31333333333023, 226.4018552875724]","[77335.0, 82095.0, 83690.0, 91645.0]","[5155.666666666667, 5473.0, 5579.333333333333, 6109.666666666667]","[27.4, 33.666666666666664, 32.0, 35.93333333333333]",156.4820792079267,226.4018552875724,226.4018552875724,226.4018552875724,15S
frontend,recommendationservice,2025-03-10 16:17:00,"[2961612.0, 2962154.0, 2962574.0, 2962628.0]","[478.0, 542.0, 420.0, 54.0]","[478.0, 542.0, 420.0, 54.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[118.59027196652409, 141.20599630996034, 218.811666666672, 8.15833333334713]","[90635.0, 86895.0, 79850.0, 8485.0]","[6042.333333333333, 5793.0, 5323.333333333333, 565.6666666666666]","[31.866666666666667, 36.13333333333333, 28.0, 3.6]",141.20599630996034,218.811666666672,218.811666666672,218.811666666672,15S
frontend,recommendationservice,2025-03-10 16:18:00,[2962725.0],[97.0],[97.0],[0.0],[1.0],[0.0],[10.321649484528402],[16680.0],[1112.0],[6.466666666666667],10.321649484528402,10.321649484528402,10.321649484528402,10.321649484528402,15S
frontend,shippingservice,2025-03-10 16:09:00,"[885768.0, 885860.0, 885973.0]","[85.0, 92.0, 113.0]","[85.0, 92.0, 113.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.6623529411770184, 1.5798913043463076, 1.8022123893797068]","[10806.5, 11586.0, 14587.0]","[720.4333333333333, 772.4, 972.4666666666668]","[5.666666666666667, 6.133333333333334, 7.533333333333333]",1.6623529411770184,1.8022123893797068,1.8022123893797068,1.8022123893797068,15S
frontend,shippingservice,2025-03-10 16:10:00,"[886078.0, 886186.0, 886317.0, 886449.0]","[105.0, 108.0, 131.0, 132.0]","[105.0, 108.0, 131.0, 132.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.622380952381839, 1.8004629629646876, 1.94122137404438, 2.0261363636377747]","[13690.0, 13954.0, 15877.0, 16456.5]","[912.6666666666666, 930.2666666666668, 1058.4666666666667, 1097.1]","[7.0, 7.2, 8.733333333333333, 8.8]",1.94122137404438,2.0261363636377747,2.0261363636377747,2.0261363636377747,15S
frontend,shippingservice,2025-03-10 16:11:00,"[886578.0, 886728.0, 886869.0, 887049.0]","[129.0, 150.0, 141.0, 180.0]","[129.0, 150.0, 141.0, 180.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.099999999997473, 2.041333333334575, 2.354255319148606, 2.473055555556332]","[17936.0, 19019.5, 18084.5, 23792.0]","[1195.7333333333331, 1267.9666666666667, 1205.6333333333334, 1586.1333333333334]","[8.6, 10.0, 9.4, 12.0]",2.354255319148606,2.473055555556332,2.473055555556332,2.473055555556332,15S
frontend,shippingservice,2025-03-10 16:12:00,"[887192.0, 887348.0, 887434.0, 887457.0]","[143.0, 156.0, 86.0, 23.0]","[143.0, 156.0, 86.0, 23.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.3548951048934765, 2.73173076922868, 2.508720930232558, 1.8760869565278129]","[17605.0, 21523.5, 12072.5, 2961.0]","[1173.6666666666667, 1434.9, 804.8333333333334, 197.4]","[9.533333333333331, 10.4, 5.733333333333333, 1.5333333333333334]",2.508720930232558,2.73173076922868,2.73173076922868,2.73173076922868,15S
frontend,shippingservice,2025-03-10 16:13:00,"[887491.0, 887527.0, 887575.0, 887636.0]","[34.0, 36.0, 48.0, 61.0]","[34.0, 36.0, 48.0, 61.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.2999999999986303, 1.6833333333359204, 1.86562499999612, 1.64016393443081]","[4275.0, 4047.5, 6072.0, 7898.5]","[285.0, 269.8333333333333, 404.8, 526.5666666666667]","[2.2666666666666666, 2.4, 3.2, 4.066666666666666]",1.6833333333359204,2.2999999999986303,2.2999999999986303,2.2999999999986303,15S
frontend,shippingservice,2025-03-10 16:14:00,"[887724.0, 887819.0, 887903.0, 888012.0]","[88.0, 95.0, 84.0, 109.0]","[88.0, 95.0, 84.0, 109.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.7193181818160652, 1.4778947368411248, 1.8148809523831697, 1.8298165137610407]","[10775.0, 11676.5, 11443.0, 14319.0]","[718.3333333333334, 778.4333333333333, 762.8666666666667, 954.6]","[5.866666666666666, 6.333333333333333, 5.6, 7.266666666666667]",1.8148809523831697,1.8298165137610407,1.8298165137610407,1.8298165137610407,15S
frontend,shippingservice,2025-03-10 16:15:00,"[888131.0, 888235.0, 888361.0, 888478.0]","[119.0, 104.0, 126.0, 117.0]","[119.0, 104.0, 126.0, 117.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.055042016807114, 2.291346153844363, 2.178174603177929, 1.8115384615400536]","[14342.5, 13882.0, 16752.5, 15953.5]","[956.1666666666666, 925.4666666666668, 1116.8333333333333, 1063.5666666666666]","[7.933333333333334, 6.933333333333334, 8.4, 7.8]",2.055042016807114,2.291346153844363,2.291346153844363,2.291346153844363,15S
frontend,shippingservice,2025-03-10 16:16:00,"[888621.0, 888773.0, 888919.0, 889067.0]","[143.0, 152.0, 146.0, 148.0]","[143.0, 152.0, 146.0, 148.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.9779720279677944, 2.411184210526316, 2.2065068493192146, 2.263175675673788]","[17103.0, 19533.5, 18963.5, 20762.0]","[1140.2, 1302.2333333333331, 1264.2333333333331, 1384.1333333333334]","[9.533333333333331, 10.133333333333333, 9.733333333333333, 9.866666666666667]",2.263175675673788,2.411184210526316,2.411184210526316,2.411184210526316,15S
frontend,shippingservice,2025-03-10 16:17:00,"[889217.0, 889374.0, 889451.0, 889470.0]","[150.0, 157.0, 77.0, 19.0]","[150.0, 157.0, 77.0, 19.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.342333333333954, 2.6598726114640785, 2.6149350649392984, 1.68157894736597]","[20102.5, 21012.0, 11020.5, 1889.0]","[1340.1666666666667, 1400.8, 734.7, 125.93333333333334]","[10.0, 10.466666666666669, 5.133333333333334, 1.2666666666666666]",2.6149350649392984,2.6598726114640785,2.6598726114640785,2.6598726114640785,15S
frontend,shippingservice,2025-03-10 16:18:00,[889506.0],[36.0],[36.0],[0.0],[1.0],[0.0],[1.4625000000038806],[3936.0],[262.4],[2.4],1.4625000000038806,1.4625000000038806,1.4625000000038806,1.4625000000038806,15S
loadgenerator,frontend,2025-03-10 16:09:00,"[3394143.0, 3394526.0, 3394959.0]","[433.0, 460.0, 531.0]","[353.0, 383.0, 433.0]","[80.0, 77.0, 98.0]","[0.815242494226328, 0.8326086956521739, 0.815442561205273]","[0.184757505773672, 0.1673913043478261, 0.1845574387947269]","[405.3867900141689, 696.1431555389731, 571.7975998020379]","[458325.0, 495190.0, 564690.0]","[30555.0, 33012.666666666664, 37646.0]","[28.866666666666667, 30.666666666666668, 35.4]",571.7975998020379,696.1431555389731,696.1431555389731,696.1431555389731,15S
loadgenerator,frontend,2025-03-10 16:10:00,"[3395415.0, 3395886.0, 3396394.0, 3396934.0]","[552.0, 567.0, 602.0, 653.0]","[456.0, 471.0, 508.0, 540.0]","[96.0, 96.0, 94.0, 113.0]","[0.8260869565217391, 0.8306878306878307, 0.8438538205980066, 0.8269525267993875]","[0.1739130434782608, 0.1693121693121693, 0.1561461794019933, 0.1730474732006125]","[746.6977521929903, 959.6369493099866, 1140.540731278271, 1323.5384300229432]","[596990.0, 607650.0, 636270.0, 708350.0]","[39799.333333333336, 40510.0, 42418.0, 47223.333333333336]","[36.8, 37.8, 40.13333333333333, 43.53333333333333]",1140.540731278271,1323.5384300229432,1323.5384300229432,1323.5384300229432,15S
loadgenerator,frontend,2025-03-10 16:11:00,"[3397488.0, 3398069.0, 3398634.0, 3399258.0]","[677.0, 691.0, 695.0, 759.0]","[554.0, 581.0, 565.0, 624.0]","[123.0, 110.0, 130.0, 135.0]","[0.8183161004431314, 0.8408104196816208, 0.8129496402877698, 0.8221343873517787]","[0.1816838995568686, 0.1591895803183791, 0.1870503597122301, 0.1778656126482213]","[1488.055366734167, 1812.0126130495976, 2395.7057522123896, 2538.0234625024154]","[725595.0, 730715.0, 761615.0, 822585.0]","[48373.0, 48714.333333333336, 50774.333333333336, 54839.0]","[45.13333333333333, 46.06666666666667, 46.333333333333336, 50.6]",2395.7057522123896,2538.0234625024154,2538.0234625024154,2538.0234625024154,15S
loadgenerator,frontend,2025-03-10 16:12:00,"[3399885.0, 3400504.0, 3400922.0, 3401013.0]","[762.0, 743.0, 516.0, 106.0]","[627.0, 619.0, 418.0, 91.0]","[135.0, 124.0, 98.0, 15.0]","[0.8228346456692913, 0.8331090174966352, 0.810077519379845, 0.8584905660377359]","[0.1771653543307086, 0.1668909825033647, 0.189922480620155, 0.1415094339622641]","[2323.476613503453, 2712.2906118088545, 5427.674136421968, 97.668315018315]","[818050.0, 794915.0, 569625.0, 109175.0]","[54536.66666666666, 52994.333333333336, 37975.0, 7278.333333333333]","[50.8, 49.53333333333333, 34.4, 7.066666666666666]",2712.2906118088545,5427.674136421968,5427.674136421968,5427.674136421968,15S
loadgenerator,frontend,2025-03-10 16:13:00,"[3401166.0, 3401339.0, 3401567.0, 3401822.0]","[185.0, 208.0, 274.0, 311.0]","[153.0, 173.0, 228.0, 255.0]","[32.0, 35.0, 46.0, 56.0]","[0.827027027027027, 0.8317307692307693, 0.8321167883211679, 0.819935691318328]","[0.1729729729729729, 0.1682692307692307, 0.1678832116788321, 0.180064308681672]","[127.04227941176472, 129.4809909166191, 249.86048817695607, 264.03452380953047]","[196825.0, 220125.0, 295375.0, 325125.0]","[13121.666666666666, 14675.0, 19691.666666666668, 21675.0]","[12.333333333333334, 13.866666666666667, 18.266666666666666, 20.73333333333333]",249.86048817695607,264.03452380953047,264.03452380953047,264.03452380953047,15S
loadgenerator,frontend,2025-03-10 16:14:00,"[3402152.0, 3402518.0, 3402905.0, 3403339.0]","[406.0, 442.0, 456.0, 526.0]","[330.0, 366.0, 387.0, 434.0]","[76.0, 76.0, 69.0, 92.0]","[0.812807881773399, 0.8280542986425339, 0.8486842105263158, 0.8250950570342205]","[0.1871921182266009, 0.1719457013574661, 0.1513157894736841, 0.1749049429657795]","[468.7369696969697, 449.5377228933086, 632.8699809010061, 654.6834376878502]","[440780.0, 473870.0, 492675.0, 557480.0]","[29385.33333333333, 31591.33333333333, 32845.0, 37165.333333333336]","[27.066666666666663, 29.466666666666665, 30.4, 35.06666666666667]",632.8699809010061,654.6834376878502,654.6834376878502,654.6834376878502,15S
loadgenerator,frontend,2025-03-10 16:15:00,"[3403777.0, 3404259.0, 3404774.0, 3405292.0]","[531.0, 576.0, 620.0, 629.0]","[438.0, 482.0, 515.0, 518.0]","[93.0, 94.0, 105.0, 111.0]","[0.8248587570621468, 0.8368055555555556, 0.8306451612903226, 0.8235294117647058]","[0.1751412429378531, 0.1631944444444444, 0.1693548387096773, 0.1764705882352941]","[899.4135807924544, 1086.7672132956573, 1320.0544613962088, 1389.8905405405371]","[572580.0, 604325.0, 681370.0, 679380.0]","[38172.0, 40288.333333333336, 45424.66666666666, 45292.0]","[35.4, 38.4, 41.333333333333336, 41.93333333333333]",1320.0544613962088,1389.8905405405371,1389.8905405405371,1389.8905405405371,15S
loadgenerator,frontend,2025-03-10 16:16:00,"[3405818.0, 3406385.0, 3406933.0, 3407567.0]","[629.0, 690.0, 655.0, 768.0]","[526.0, 567.0, 548.0, 634.0]","[103.0, 123.0, 107.0, 134.0]","[0.8362480127186009, 0.8217391304347826, 0.8366412213740458, 0.8255208333333334]","[0.163751987281399, 0.1782608695652173, 0.1633587786259541, 0.1744791666666666]","[1888.4661988369487, 1917.3877339011608, 1864.5930418173064, 2407.7042104148]","[666875.0, 744725.0, 699785.0, 819220.0]","[44458.333333333336, 49648.333333333336, 46652.333333333336, 54614.66666666666]","[41.93333333333333, 46.0, 43.66666666666666, 51.2]",1917.3877339011608,2407.7042104148,2407.7042104148,2407.7042104148,15S
loadgenerator,frontend,2025-03-10 16:17:00,"[3408154.0, 3408753.0, 3409183.0, 3409264.0]","[723.0, 738.0, 530.0, 93.0]","[587.0, 599.0, 430.0, 81.0]","[136.0, 139.0, 100.0, 12.0]","[0.8118948824343015, 0.8116531165311653, 0.8113207547169812, 0.8709677419354839]","[0.1881051175656984, 0.1883468834688346, 0.1886792452830188, 0.1290322580645161]","[2953.83636574306, 2744.450310469496, 7302.579853121159, 113.10771604947584]","[795875.0, 771180.0, 601095.0, 95975.0]","[53058.333333333336, 51412.0, 40073.0, 6398.333333333333]","[48.2, 49.2, 35.333333333333336, 6.2]",2953.83636574306,7302.579853121159,7302.579853121159,7302.579853121159,15S
loadgenerator,frontend,2025-03-10 16:18:00,[3409399.0],[164.0],[135.0],[29.0],[0.823170731707317],[0.1768292682926829],[100.97190293740736],[164075.0],[10938.333333333334],[10.933333333333334],100.97190293740736,100.97190293740736,100.97190293740736,100.97190293740736,15S
recommendationservice,productcatalogservice,2025-03-10 16:09:00,"[2949714.0, 2950012.0, 2950356.0]","[271.0, 298.0, 344.0]","[271.0, 298.0, 344.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.7284132841359343, 1.7634228187919463, 2.0751453488347726]","[32523.0, 35475.5, 41468.5]","[2168.2, 2365.0333333333333, 2764.5666666666666]","[18.066666666666663, 19.866666666666667, 22.933333333333334]",1.7634228187919463,2.0751453488347726,2.0751453488347726,2.0751453488347726,15S
recommendationservice,productcatalogservice,2025-03-10 16:10:00,"[2950729.0, 2951119.0, 2951520.0, 2951973.0]","[373.0, 390.0, 401.0, 453.0]","[373.0, 390.0, 401.0, 453.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.782975871314422, 2.3979487179503898, 2.747007481295132, 3.006622516556291]","[45208.5, 46869.0, 47066.5, 55610.5]","[3013.9, 3124.6, 3137.766666666667, 3707.366666666667]","[24.866666666666667, 26.0, 26.73333333333333, 30.2]",2.782975871314422,3.006622516556291,3.006622516556291,3.006622516556291,15S
recommendationservice,productcatalogservice,2025-03-10 16:11:00,"[2952430.0, 2952923.0, 2953432.0, 2953903.0]","[457.0, 493.0, 509.0, 471.0]","[457.0, 493.0, 509.0, 471.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.327680525164114, 4.629513184583423, 4.038212180746928, 4.296709129511678]","[54939.0, 59564.0, 61804.0, 59132.0]","[3662.6, 3970.933333333333, 4120.266666666666, 3942.133333333333]","[30.466666666666665, 32.86666666666667, 33.93333333333333, 31.4]",4.038212180746928,4.629513184583423,4.629513184583423,4.629513184583423,15S
recommendationservice,productcatalogservice,2025-03-10 16:12:00,"[2954499.0, 2955018.0, 2955547.0, 2955653.0]","[596.0, 519.0, 529.0, 106.0]","[596.0, 519.0, 529.0, 106.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.477684563758702, 3.794315992292871, 4.723156899810612, 4.528773584903903]","[69181.0, 63082.0, 61800.5, 16996.5]","[4612.066666666667, 4205.466666666666, 4120.033333333334, 1133.1]","[39.73333333333333, 34.6, 35.266666666666666, 7.066666666666666]",4.477684563758702,4.723156899810612,4.723156899810612,4.723156899810612,15S
