source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,p50_latency,p90_latency,p95_latency,p99_latency,time_window
frontend,adservice,2025-03-10 16:17:00,"[2371239.0, 2371610.0, 2371848.0, 2371915.0]","[442.0, 416.0, 247.0, 67.0]","[384.0, 371.0, 238.0, 67.0]","[58.0, 45.0, 9.0, 0.0]","[0.8687782805429864, 0.8918269230769231, 0.9635627530364372, 1.0]","[0.1312217194570135, 0.1081730769230768, 0.0364372469635627, 0.0]","[7.440324173848149, 5.282569631626245, 9.571918767508528, 2.038805970157594]","[50541.0, 47512.0, 37986.5, 7434.0]","[3369.4, 3167.4666666666667, 2532.4333333333334, 495.6]","[29.466666666666665, 27.73333333333333, 16.466666666666665, 4.466666666666667]",7.440324173848149,9.571918767508528,9.571918767508528,9.571918767508528,15S
frontend,adservice,2025-03-10 16:18:00,[2372027.0],[112.0],[112.0],[0.0],[1.0],[0.0],[1.9843749999916849],[12223.5],[814.9],[7.466666666666667],1.9843749999916849,1.9843749999916849,1.9843749999916849,1.9843749999916849,15S
frontend,cartservice,2025-03-10 16:09:00,"[3692043.0, 3692468.0, 3692961.0]","[407.0, 425.0, 493.0]","[407.0, 425.0, 493.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[5.333906633902973, 5.618823529411765, 5.530121703856978]","[58005.0, 59140.0, 68165.0]","[3867.0, 3942.6666666666665, 4544.333333333333]","[27.133333333333333, 28.33333333333333, 32.86666666666667]",5.530121703856978,5.618823529411765,5.618823529411765,5.618823529411765,15S
frontend,cartservice,2025-03-10 16:10:00,"[3693442.0, 3693957.0, 3694530.0, 3695120.0]","[481.0, 515.0, 573.0, 590.0]","[481.0, 515.0, 573.0, 590.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.773284823283275, 25.98640776699029, 6.646422338566335, 6.6106779661029575]","[71520.0, 74250.0, 80140.0, 83695.0]","[4768.0, 4950.0, 5342.666666666667, 5579.666666666667]","[32.06666666666667, 34.333333333333336, 38.2, 39.333333333333336]",6.646422338566335,25.98640776699029,25.98640776699029,25.98640776699029,15S
frontend,cartservice,2025-03-10 16:11:00,"[3695726.0, 3696362.0, 3697010.0, 3697708.0]","[606.0, 636.0, 648.0, 698.0]","[606.0, 636.0, 648.0, 698.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[7.300742574257426, 36.00896226415563, 8.031327160489228, 7.804727793695208]","[88640.0, 90515.0, 92695.0, 102165.0]","[5909.333333333333, 6034.333333333333, 6179.666666666667, 6811.0]","[40.4, 42.4, 43.2, 46.53333333333333]",7.804727793695208,36.00896226415563,36.00896226415563,36.00896226415563,15S
frontend,cartservice,2025-03-10 16:12:00,"[3698410.0, 3699104.0, 3699370.0, 3699485.0]","[702.0, 694.0, 268.0, 115.0]","[702.0, 694.0, 266.0, 115.0]","[0.0, 0.0, 2.0, 0.0]","[1.0, 1.0, 0.9925373134328358, 1.0]","[0.0, 0.0, 0.0074626865671642, 0.0]","[49.16168091168091, 58.424351585014406, 16.5984962406043, 4.48826086955226]","[98680.0, 95630.0, 64870.0, 15015.0]","[6578.666666666667, 6375.333333333333, 4324.666666666667, 1001.0]","[46.8, 46.266666666666666, 17.866666666666667, 7.666666666666667]",49.16168091168091,58.424351585014406,58.424351585014406,58.424351585014406,15S
frontend,cartservice,2025-03-10 16:13:00,"[3699663.0, 3699859.0, 3700109.0, 3700403.0]","[178.0, 196.0, 250.0, 294.0]","[178.0, 196.0, 250.0, 294.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.374157303379158, 4.702295918359744, 30.31680000001192, 5.018027210874217]","[23315.0, 26550.0, 35585.0, 42000.0]","[1554.3333333333333, 1770.0, 2372.333333333333, 2800.0]","[11.866666666666667, 13.066666666666666, 16.666666666666668, 19.6]",5.018027210874217,30.31680000001192,30.31680000001192,30.31680000001192,15S
frontend,cartservice,2025-03-10 16:14:00,"[3700785.0, 3701177.0, 3701591.0, 3702097.0]","[382.0, 392.0, 414.0, 506.0]","[382.0, 392.0, 414.0, 506.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.035863874353352, 5.164158163269107, 5.82777777776698, 5.035276679852204]","[53185.0, 56155.0, 58395.0, 67875.0]","[3545.6666666666665, 3743.6666666666665, 3893.0, 4525.0]","[25.466666666666665, 26.133333333333333, 27.6, 33.733333333333334]",5.035863874353352,5.82777777776698,5.82777777776698,5.82777777776698,15S
frontend,cartservice,2025-03-10 16:15:00,"[3702600.0, 3703127.0, 3703667.0, 3704241.0]","[503.0, 527.0, 540.0, 574.0]","[503.0, 527.0, 540.0, 574.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.957654075537833, 37.84563567362853, 6.399722222218083, 7.409494773520461]","[72635.0, 75650.0, 78810.0, 83410.0]","[4842.333333333333, 5043.333333333333, 5254.0, 5560.666666666667]","[33.53333333333333, 35.13333333333333, 36.0, 38.266666666666666]",7.409494773520461,37.84563567362853,37.84563567362853,37.84563567362853,15S
frontend,cartservice,2025-03-10 16:16:00,"[3704831.0, 3705463.0, 3706102.0, 3706770.0]","[590.0, 632.0, 639.0, 668.0]","[590.0, 632.0, 639.0, 668.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[70.0620338983076, 90.65822784810126, 8.03380281689791, 74.29985029940231]","[83720.0, 88060.0, 90930.0, 96825.0]","[5581.333333333333, 5870.666666666667, 6062.0, 6455.0]","[39.333333333333336, 42.13333333333333, 42.6, 44.53333333333333]",74.29985029940231,90.65822784810126,90.65822784810126,90.65822784810126,15S
